Metacached,Noncached,Diff
116000,1344000,1228000
123000,1234000,1111000
138000,31805000,31667000
109000,1083000,974000
246000,158754000,158508000
139000,2375000,2236000
144000,42048000,41904000
204000,1647000,1443000
179000,36303000,36124000
448000,1311000,863000
165000,15343000,15178000
153000,1164000,1011000
179000,4472000,4293000
143000,1430000,1287000
148000,15572000,15424000
116000,1042000,926000
230000,11187000,10957000
153000,1859000,1706000
131000,34455000,34324000
148000,886000,738000
132000,15075000,14943000
211000,1321000,1110000
157000,35697000,35540000
161000,1097000,936000
201000,25574000,25373000
131000,1171000,1040000
437000,33881000,33444000
137000,1095000,958000
515000,38921000,38406000
132000,1284000,1152000
197000,78269000,78072000
135000,1271000,1136000
170000,31294000,31124000
417000,851000,434000
129000,13044000,12915000
174000,791000,617000
170000,4191000,4021000
151000,1323000,1172000
138000,9428000,9290000
157000,1839000,1682000
2784000,34985000,32201000
194000,784000,590000
145000,16681000,16536000
164000,1107000,943000
167000,12401000,12234000
140000,1926000,1786000
127000,36803000,36676000
147000,1115000,968000
146000,3976000,3830000
151000,913000,762000
195000,32008000,31813000
146000,2033000,1887000
189000,5322000,5133000
148000,1773000,1625000
172000,9726000,9554000
248000,869000,621000
129000,19579000,19450000
187000,1887000,1700000
168000,27000000,26832000
139000,1519000,1380000
228000,19464000,19236000
150000,808000,658000
185000,10372000,10187000
176000,1035000,859000
169000,29277000,29108000
191000,710000,519000
161000,2850000,2689000
193000,738000,545000
141000,4098000,3957000
116000,900000,784000
131000,39547000,39416000
129000,939000,810000
125000,2860000,2735000
214000,812000,598000
171000,4227000,4056000
174000,3976000,3802000
135000,2898000,2763000
190000,1566000,1376000
123000,35174000,35051000
246000,778000,532000
141000,10775000,10634000
140000,1579000,1439000
155000,28875000,28720000
149000,854000,705000
186000,13582000,13396000
139000,1000000,861000
157000,4196000,4039000
133000,898000,765000
135000,2733000,2598000
117000,4692000,4575000
130000,33194000,33064000
138000,1856000,1718000
120000,6894000,6774000
127000,821000,694000
170000,12596000,12426000
151000,977000,826000
185000,11439000,11254000
126000,935000,809000
129000,28545000,28416000
173000,769000,596000
112000,2939000,2827000
161000,1028000,867000
211000,34385000,34174000
186000,926000,740000
