cached, noncached
8472647,16392411
148030,1065819
193213,1533913
153570,5296447
153746,1192595
154151,954949
131122,1234093
149275,955136
144210,1244370
159770,877956
135674,904694
163268,922839
167777,1002260
137547,903264
148222,922443
122494,1201466
149225,2639196
139344,1333856
124737,3701763
137099,937137
180468,2896628
147370,942469
151607,935646
151129,968535
140087,921949
154960,1435995
122722,1665682
156600,1250628
115023,851256
190491,1347585
141200,2393296
126667,859293
156150,1461890
128022,3215139
150583,1227102
116992,1042641
175484,848510
135445,982873
145756,1276090
138561,777150
167238,800766
127017,1376399
138859,1022292
149680,1379563
148107,1234233
151683,966535
148656,797122
140446,975761
161333,1227855
160231,844204
157790,1466389
152161,946981
130285,3022249
121953,1202446
144519,827614
152555,1318874
131845,1371007
125862,1333260
169599,1295738
145140,1372203
186770,1570350
133040,1332877
159706,1417209
172084,1284935
138470,909819
150073,1299660
131464,899160
150151,993575
157232,942880
151800,1304962
126362,1108865
143490,1385929
167831,953731
188842,923955
161711,917407
169750,859442
157576,1216564
127934,1897508
144550,826179
137172,877380
157101,978051
147189,475417132
130874,1355935
135050,1237196
154737,863173
149642,832338
123535,2007033
122074,1247368
147098,1147326
142606,22701872
135304,930915
119335,1381114
133562,902045
118260,909212
141599,1039432
141038,838288
139265,1192781
197272,985437
121103,1272946
140284,843492
140417,7908007
147872,1206994
135347,1317368
129857,1385564
165295,868714
131377,2652797
144392,1175978
158935,1077324
139994,1277955
117077,1262447
163080,852947
133919,1229170
148748,920329
161284,939314
127189,960359
137835,1316065
168684,851739
146177,967258
158789,1226414
160647,927163
123919,1423214
117584,967588
150848,915962
174171,4641580
159542,1245078
162808,926316
180538,771622
142988,784229
130310,828037
159958,1555913
133000,9703825
148747,1154003
144270,1176706
167705,1071571
146243,821242
130530,2710478
160606,1244860
146112,997557
120153,1002652
138290,917068
125905,1085273
112361,1324050
157788,891019
120412,882541
145678,1578670
145002,1286803
129440,1132777
143478,1066032
157471,3151716
132282,857280
125429,1686031
156625,1054237
157383,830920
152126,783926
142377,767116
146542,924906
149825,865054
140311,946242
188786,851994
140783,2369575
164758,822139
147601,1310960
127603,3744796
171946,43105
153706,1087688
130344,860145
152564,48146717
167314,13317058
18638112,8337608
127302,12085227
155177,1004101
130014,44280726
111915,1104682
149291,41106528
117539,7505091
150653,5176321
134988,945071
188756,1099971
144699,1157817
147531,866851
116694,828534
141425,1169958
141565,765187
129010,806808
158272,14374144
159994,1367964
126335,969050
150463,40939161
154946,1157599
120053,8402268
154164,1359562
141135,1121401
128502,975293
153271,779542
138044,43646626
151244,35416
148256,896425
167015,808320
157672,1258866
123607,816485
133995,915781
130855,338387442
149831,762683
144131,856601
151190,9251787
128350,10722061
147564,897093
126217,9042048
149871,1095667
135264,10814391
135499,31456018
141425,1109815
151661,1275840
145476,806414
166845,110496839
146921,1113415
158861,892897
156689,888196
154099,761040
151392,889138
139727,1287239
118784,921021
142044,1321700
117112,841724
136388,976210
137138,1309325
147105,880231
151537,2811133
169430,1350973
136340,766980
138849,907943
138574,778387
135969,951129
136533,1381197
152404,1200508
168445,1005137
165489,909541
139826,1362786
142178,902378
131534,1252727
172484,939964
123860,1185506
149082,1072609
130463,822158
164366,892699
139239,4030581
157957,941333
138192,15273508
156386,907824
153694,820286
126310,1342660
151847,888947
143233,1151016
133207,1325841
182751,1404676
153910,1542775
148926,822394
124727,1230896
174859,823637
150223,824124
141702,812681
182826,1310169
165421,2176174
157630,12079451
160160,924902
151369,905541
128031,1348794
150897,814519
116984,846852
167638,1291622
173691,800224
124073,1338421
151287,1289622
186503,1794033
148032,1247998
141718,1156573
174303,1339643
132703,1799685
153069,1015622
144427,911095
145359,7764891
164877,1358244
156966,74840
116099,843343
166990,931745
159153,4122888
155407,1363631
141401,921645
149487,2321461
143263,780988
120784,773499
155407,1218542
137806,815148
142864,3533173
141084,1346942
123727,825560
146880,918025
117919,1284286
148120,2346908
138762,826384
123827,1195004
139561,2000942
131220,782244
158803,1267808
144225,939611
139047,976017
127778,1377608
154635,1360905
152415,1063119
138785,760482
187942,916713
159039,919309
149722,1135267
162212,922746
156362,1313773
136627,2566844
188933,1255917
157169,1332890
135393,889045
166230,956216
118101,843264
145347,1888462
134770,946390
175391,1135088
111940,1151507
179285,875827
163262,1355675
115912,1229290
130088,1971622
158817,1365430
139656,2587420
122576,780279
144583,931087
120601,1099420
134608,918787
147173,1149255
130987,788104
133896,269838679
128172,425854986
125972,94749474
126027,33103361
127243,47284437
123002,80047907
120293,64471043
143010,707221
129865,7284505
165132,868643
152572,9285493
122655,72940154
126113,41147949
121264,800552
135029,712851
150799,17030124
133885,40401915
161078,12860976
137374,27379299
155876,30274567
148752,28839946
127948,1103254
124962,27747078
137778,863231
130352,46740866
135386,51577077
133542,24531600
121006,45232581
129718,27723578
120681,10127842
130527,44617678
148055,24556083
164733,19652565
145239,1511679
128237,8618691
114901,733563
154995,720943
132105,10864076
135583,980805
153854,1063302
129879,24856985
140851,13013202
122151,781927
128029,21259023
125789,1799358
134416,18809223
121913,13935821
133147,1134409
144115,4784522
122787,12184597
145678,761815
162320,797739
147028,1518468
129556,23518719
164788,5840569
115167,51831206
138727,62219073
119583,6198313
111211,1126057
163212,712181
124611,22152646
123811,17153869
161145,13213512
124836,955194
140718,14763624
135820,1269171
126724,28254851
128366,791933
150965,11262953
223768,4361001
132917,2308669
141114,736041
135956,830594
145025,437334324
149534,784094
122625,807472
153652,1347376
146536,887668
121315,653581
140878,760798
136194,2213033
180115,258015165
147964,1489037
142621,20405747
155287,3292228
134537,4723087
122036,10425498
166434,11458529
126693,16856627
138829,816868
164543,1150124
151426,884517
173491,1109643
138913,1008504
147124,22841315
126211,728680
148605,8665216
164140,33234056
123569,3148593
150079,16533518
128252,965539
165489,18922377
110334,779288
130438,20228913
128638,25890122
133753,1113876
130104,973707
122617,756719
149859,745391
115588,854421
159134,1148975
126733,728241
116049,1141821
145370,802426
124414,818378
133514,707959
116679,955592
137658,746548
131188,732862
184381,17912666
152623,839733
125827,22809561
153684,1101109
127631,56985367
121324,6654707
122196,1883310
126377,16743376
135240,709043
131528,39718581
122971,12207114
162802,17235485
122842,813349
114948,1139966
137380,15326914
133955,4939721
115758,21124647
141867,6451066
149113,111378168
129471,16722856
156174,860740
184918,6083897
142333,1006288
138121,33474104
131081,792900
120455,5146492
123402,8986236
157953,1196130
132759,770304
132957,84462818
128738,9005940
164213,5758361
140901,791596
168367,4511676
130481,1093944
141666,2049465
122064,16738378
130525,2757674
161078,1034696
140088,714893
150641,1115126
116328,1178493
144524,783095
121600,976985
173257,1108374
131857,10709440
165938,677631
136737,1424554
128502,855318
149913,2016162
122544,804002
126136,11002990
132106,3853265
118758,82500210
133163,9113956
135923,978584
127950,748910
155823,11988978
25545168,9086947
26264715,73746028
20120758,3731101
16203974,140149925
23170653,2885251
17463236,3700871
24486232,28589538
28195356,1126789
140070,27805466
186254,45371768
480887,14296593
490224,25275061
153387,268076402
819700,359804585
1448220,4686593
492248,44318344
492952,35049082
512630,73483749
471217,4232356
570661,43799972
549889,24060404
142685,66551324
476208,40613399
514386,41137463
515077,55128987
189386,29799972
520728,33260720
147507,23272467
496455,44823775
147885,18543158
653403,51701127
144671,35487027
525174,35910278
126200,24737796
488910,66048727
503520,2614148
507282,2316665
201732,3012001
178466,44730698
150179,14691597
491547,55193984
200591,76836029
536409,77344517
543426,19871134
194059,56818712
493024,3358498
142105,4420240
485664,11702150
532103,46786887
490120,9523178
157618,46320001
544604,12595932
126148,55173887
596271,206703107
592349,22043209
202988,57432053
567747,22491009
206666,13602489
492975,1292743
127374,14749917
503371,3887605
518387,8616224
195961,1582511
474815,2936928
146559,1233419
518718,1046890
540733,9114042
476588,8870777
539723,24019118
527526,1899530
153889,13065377
202672,6893129
494588,135322576
532534,2869454
3864636,1095033
520532,2752954
195698,13917954
523075,1221296
695218,4793691
132983,900305
574340,3067623
482788,1496096
197195,1128336
469228,815102
488378,822410
533031,2592085
571097,35094187
180193,851870
462780,3157463
543455,5188344
533634,1310467
508037,1281946
483346,2635481
507023,15534167
520709,1107142
208910,3225745
559434,1123543
487142,1182894
154225,2707749
492227,2853424
521683,1231954
487651,1069241
179940,2437326
504363,2354660
202295,1129451
177168,1066530
161319,1470358
190078,2836570
488939,1671141
508839,4522079
211893,81887
505324,2959155
221987,1195461
145260,32968115
546423,2772012
199372,2669769
131646,1067063
539772,14409198
523803,2591495
487895,2706618
152785,2537206
556473,1272079
583113,2681361
221244,2001649
210502,1114472
561060,2570236
1597071,1491842
549396,1293589
220916,994097
563221,1192928
538966,1282541
186269,942441
583318,1136299
476052,2490035
499373,1170574
202072,1232505
137230,2655111
547224,2681014
158666,903300
174344,2687374
194553,1123517
480716,813429
184047,1131266
496014,1481255
196950,2571607
518455,1259511
190031,1207368
511826,871480
181481,2515041
264218,2954374
130050,2545784
487098,2704870
199124,326828
563764,1769826
137480,828558
196161,2645834
164256,2956162
515024,2300075
194418,2559359
483472,1064271
565999,2489269
523845,1726000
504542,991083
158253,1202287
128631,1210891
537133,2405863
192043,910733
526874,1173039
542915,8461686
526696,2865015
150036,2426146
574312,948772
550505,2319424
475246,1304192
