cached, noncached
177995,1856480
133158,1517192
165308,1735170
275901,1251350
176511,2213268
293686,1142587
174708,2518834
212603,849514
171689,1743580
307836,1583431
192049,1542962
102637,1067394
147102,2938006
197099,1633742
180497,1652018
147653,1206217
187468,1977172
133245,1394012
293406,9802667
156143,930599
172187,1902438
169004,1010648
204090,1800011
121200,1192984
147200,2002601
117564,1225652
157298,1504548
145560,1122811
270039,1422280
191447,937982
249065,1851644
306884,1314140
223052,1519158
151779,1511044
133359,1434541
146280,987384
220692,1188594
145761,844808
154137,1465738
266552,1252653
188525,4321057
255681,2351782
171468,1338042
157457,928839
131120,1521791
194763,4410699
188123,1465820
146736,1146890
115037,1474997
280728,1387670
118104,1753241
166044,863946
148039,1572441
118530,1229141
174611,1450625
145943,940200
187818,1294316
187373,859017
151944,1489577
108803,1406693
214411,1362991
204694,945258
187309,1181651
156941,814882
177845,1545679
169837,840118
153943,1707268
133062,1408861
99582,1607945
151199,1174618
149477,1232571
145363,840530
149914,1452876
135351,1039823
179900,1426304
140432,978566
144158,1462566
164265,854225
158832,1210768
155233,873044
173950,1343011
210366,892589
157892,1372437
196045,989215
164290,1381207
342534,1414414
277338,1515764
159948,1328661
182213,1572989
163581,1424041
179190,1725182
127593,5171044
166084,1516463
193061,1320215
177612,3358462
230180,1487253
147351,1778725
135034,1057611
134819,1926973
224250,1138482
138138,1538533
133169,971876
141657,1518519
168905,1184017
211367,1619119
206320,989012
137268,1787366
147428,1453808
159226,1553813
168499,1186530
150792,1443532
242940,4346326
172074,1565718
110214,862436
151423,1368005
150273,842008
152167,1309171
294049,1188165
170348,1086031
231922,804657
191195,1812827
154581,1266284
154798,1527484
275504,1137263
159538,1458550
127334,853862
218800,1368042
168516,1014089
278040,1418223
205946,4693197
175243,1420423
230135,917290
180379,1720296
230412,1718600
160363,1644097
203752,997681
180256,1494750
157013,971680
187371,1531676
186398,1310223
203008,1439913
271618,1094128
222379,1431511
154740,902193
174361,1234380
136054,796122
133532,1431245
142005,1494413
135488,1733263
181323,1244645
166648,1356014
142479,1254988
148879,1859217
138216,1311377
132044,1452917
183555,831418
161440,1254021
185978,969806
151297,1438147
173894,1319001
176167,1517219
156286,899166
144386,1784950
141636,937346
156323,1468887
181821,777817
143174,1394072
118400,4538982
162775,1424030
195206,808473
220842,1483045
197473,1316614
149977,1504044
173202,1147307
144026,1551353
173417,1123207
183487,1782292
174231,1528265
125235,2933929
139052,4868589
169054,1598068
186392,1024119
179398,1615262
174578,793351
201551,1721384
167372,5086185
312603,1612182
176376,1123168
174449,1572559
208031,4464022
148372,1510361
194117,1050599
173157,1858226
148249,3909107
160692,9146521
192797,1385778
312411,1683415
119523,1037687
177342,1360762
182621,977937
168268,8310119
171469,1777478
147892,1282713
175644,963717
211841,1496591
166920,1538611
197000,1573989
172915,1151679
162948,1291551
